"date","home.team","away.team","home.score","away.score"
"16/08/2019","Ath Bilbao","Barcelona",1,0
"17/08/2019","Celta","Real Madrid",1,3
"17/08/2019","Valencia","Sociedad",1,1
"17/08/2019","Mallorca","Eibar",2,1
"17/08/2019","Leganes","Osasuna",0,1
"17/08/2019","Villarreal","Granada",4,4
"18/08/2019","Alaves","Levante",1,0
"18/08/2019","Espanol","Sevilla",0,2
"18/08/2019","Betis","Valladolid",1,2
"18/08/2019","Ath Madrid","Getafe",1,0
"23/08/2019","Granada","Sevilla",0,1
"23/08/2019","Levante","Villarreal",2,1
"24/08/2019","Osasuna","Eibar",0,0
"24/08/2019","Real Madrid","Valladolid",1,1
"24/08/2019","Celta","Valencia",1,0
"24/08/2019","Getafe","Ath Bilbao",1,1
"25/08/2019","Alaves","Espanol",0,0
"25/08/2019","Mallorca","Sociedad",0,1
"25/08/2019","Leganes","Ath Madrid",0,1
"25/08/2019","Barcelona","Betis",5,2
"30/08/2019","Sevilla","Celta",1,1
"30/08/2019","Ath Bilbao","Sociedad",2,0
"31/08/2019","Osasuna","Barcelona",2,2
"31/08/2019","Getafe","Alaves",1,1
"31/08/2019","Levante","Valladolid",2,0
"31/08/2019","Betis","Leganes",2,1
"01/09/2019","Valencia","Mallorca",2,0
"01/09/2019","Ath Madrid","Eibar",3,2
"01/09/2019","Espanol","Granada",0,3
"01/09/2019","Villarreal","Real Madrid",2,2
"13/09/2019","Mallorca","Ath Bilbao",0,0
"14/09/2019","Real Madrid","Levante",3,2
"14/09/2019","Leganes","Villarreal",0,3
"14/09/2019","Sociedad","Ath Madrid",2,0
"14/09/2019","Barcelona","Valencia",5,2
"15/09/2019","Eibar","Espanol",1,2
"15/09/2019","Alaves","Sevilla",0,1
"15/09/2019","Celta","Granada",0,2
"15/09/2019","Valladolid","Osasuna",1,1
"15/09/2019","Betis","Getafe",1,1
"20/09/2019","Osasuna","Betis",0,0
"21/09/2019","Villarreal","Valladolid",2,0
"21/09/2019","Levante","Eibar",0,0
"21/09/2019","Ath Madrid","Celta",0,0
"21/09/2019","Granada","Barcelona",2,0
"22/09/2019","Getafe","Mallorca",4,2
"22/09/2019","Espanol","Sociedad",1,3
"22/09/2019","Valencia","Leganes",1,1
"22/09/2019","Ath Bilbao","Alaves",2,0
"22/09/2019","Sevilla","Real Madrid",0,1
"24/09/2019","Valladolid","Granada",1,1
"24/09/2019","Betis","Levante",3,1
"24/09/2019","Barcelona","Villarreal",2,1
"25/09/2019","Leganes","Ath Bilbao",1,1
"25/09/2019","Mallorca","Ath Madrid",0,2
"25/09/2019","Valencia","Getafe",3,3
"25/09/2019","Real Madrid","Osasuna",2,0
"26/09/2019","Eibar","Sevilla",3,2
"26/09/2019","Celta","Espanol",1,1
"26/09/2019","Sociedad","Alaves",3,0
"27/09/2019","Villarreal","Betis",5,1
"28/09/2019","Ath Bilbao","Valencia",0,1
"28/09/2019","Getafe","Barcelona",0,2
"28/09/2019","Granada","Leganes",1,0
"28/09/2019","Ath Madrid","Real Madrid",0,0
"29/09/2019","Espanol","Valladolid",0,2
"29/09/2019","Eibar","Celta",2,0
"29/09/2019","Alaves","Mallorca",2,0
"29/09/2019","Levante","Osasuna",1,1
"29/09/2019","Sevilla","Sociedad",3,2
"04/10/2019","Betis","Eibar",1,1
"05/10/2019","Leganes","Levante",1,2
"05/10/2019","Real Madrid","Granada",4,2
"05/10/2019","Valencia","Alaves",2,1
"05/10/2019","Osasuna","Villarreal",2,1
"06/10/2019","Mallorca","Espanol",2,0
"06/10/2019","Celta","Ath Bilbao",1,0
"06/10/2019","Valladolid","Ath Madrid",0,0
"06/10/2019","Sociedad","Getafe",1,2
"06/10/2019","Barcelona","Sevilla",4,0
"18/10/2019","Granada","Osasuna",1,0
"19/10/2019","Eibar","Barcelona",0,3
"19/10/2019","Ath Madrid","Valencia",1,1
"19/10/2019","Getafe","Leganes",2,0
"19/10/2019","Mallorca","Real Madrid",1,0
"20/10/2019","Alaves","Celta",2,0
"20/10/2019","Sociedad","Betis",3,1
"20/10/2019","Espanol","Villarreal",0,1
"20/10/2019","Ath Bilbao","Valladolid",1,1
"20/10/2019","Sevilla","Levante",1,0
"25/10/2019","Villarreal","Alaves",4,1
"26/10/2019","Leganes","Mallorca",1,0
"26/10/2019","Valladolid","Eibar",2,0
"26/10/2019","Ath Madrid","Ath Bilbao",2,0
"27/10/2019","Celta","Sociedad",0,1
"27/10/2019","Granada","Betis",1,0
"27/10/2019","Levante","Espanol",0,1
"27/10/2019","Sevilla","Getafe",2,0
"27/10/2019","Osasuna","Valencia",3,1
